PERMNO,date,TICKER,PRC,RET,SHROUT,vwretd,sprtrn,SECTOR
10107,2021-05-28,MSFT,249.67999,-0.007693,7531575.0,0.007092,0.005487,Materials
10107,2021-06-30,MSFT,270.89999,0.084989,7519000.0,0.023422,0.022214,Materials
10107,2021-07-30,MSFT,284.91,0.051717,7514891.0,0.011828,0.022748,Materials
10107,2021-08-31,MSFT,301.88,0.061528,7514891.0,0.027146,0.02899,Materials
10107,2021-09-30,MSFT,281.92001,-0.066119,7507897.0,-0.042243,-0.047569,Materials
10107,2021-10-29,MSFT,331.62,0.176291,7507980.0,0.064651,0.069144,Materials
10107,2021-11-30,MSFT,330.59,-0.001236,7507980.0,-0.01835,-0.008334,Materials
10107,2021-12-31,MSFT,336.32001,0.017333,7507980.0,0.033341,0.043613,Materials
10107,2022-01-31,MSFT,310.98001,-0.075345,7496866.0,-0.059822,-0.052585,Materials
10107,2022-02-28,MSFT,298.79001,-0.037205,7496866.0,-0.021838,-0.031361,Materials
10107,2022-03-31,MSFT,308.31,0.031862,7483000.0,0.030506,0.035773,Materials
10107,2022-04-29,MSFT,277.51999,-0.099867,7479033.0,-0.089387,-0.087957,Materials
10107,2022-05-31,MSFT,271.87,-0.018125,7479033.0,-0.002113,5.3e-05,Materials
10107,2022-06-30,MSFT,256.82999,-0.055321,7464000.0,-0.083998,-0.08392,Materials
10107,2022-07-29,MSFT,280.73999,0.093097,7457892.0,0.090351,0.091116,Materials
10107,2022-08-31,MSFT,261.47,-0.066432,7457892.0,-0.036233,-0.04244,Materials
10107,2022-09-30,MSFT,232.89999,-0.109267,7457000.0,-0.091323,-0.093396,Materials
10107,2022-10-31,MSFT,232.13,-0.003306,7454473.0,0.077394,0.079863,Materials
10107,2022-11-30,MSFT,255.14,0.102055,7454473.0,0.052354,0.053753,Materials
10107,2022-12-30,MSFT,239.82001,-0.060045,7447000.0,-0.057119,-0.058971,Materials
10107,2023-01-31,MSFT,247.81,0.033317,7443804.0,0.071823,0.061753,Materials
10107,2023-02-28,MSFT,249.42,0.009241,7443804.0,-0.024666,-0.026112,Materials
10107,2023-03-31,MSFT,288.29999,0.155882,7437000.0,0.02395,0.035052,Materials
10107,2023-04-28,MSFT,307.26001,0.065765,7435488.0,0.008976,0.014642,Materials
10107,2023-05-31,MSFT,328.39001,0.070982,7435488.0,0.000708,0.002482,Materials
10107,2023-06-30,MSFT,340.54001,0.036999,7432000.0,0.066183,0.064728,Materials
10107,2023-07-31,MSFT,335.92001,-0.013567,7429764.0,0.035618,0.031139,Materials
10107,2023-08-31,MSFT,327.76001,-0.022267,7429764.0,-0.020608,-0.017716,Materials
10107,2023-09-29,MSFT,315.75,-0.036643,7429031.0,-0.04739,-0.048719,Materials
10107,2023-10-31,MSFT,338.10999,0.070815,7432262.0,-0.028865,-0.02198,Materials
10107,2023-11-30,MSFT,378.91,0.122889,7432262.0,0.092053,0.089179,Materials
10107,2023-12-29,MSFT,376.04001,-0.007574,7432262.0,0.053604,0.044229,Materials
10107,2024-01-31,MSFT,397.57999,0.057281,7430436.0,0.007561,0.015896,Materials
10107,2024-02-29,MSFT,413.64001,0.042281,7430436.0,0.050583,0.051721,Materials
10107,2024-03-28,MSFT,420.72,0.017116,7432306.0,0.03245,0.031019,Materials
