,View1,View2,View3,View4,View5,View6,View7,View8,View9,View10
View1,0.001674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
View2,0.0,0.002658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
View3,0.0,0.0,0.001862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
View4,0.0,0.0,0.0,0.001497,0.0,0.0,0.0,0.0,0.0,0.0
View5,0.0,0.0,0.0,0.0,0.002234,0.0,0.0,0.0,0.0,0.0
View6,0.0,0.0,0.0,0.0,0.0,0.002414,0.0,0.0,0.0,0.0
View7,0.0,0.0,0.0,0.0,0.0,0.0,0.001334,0.0,0.0,0.0
View8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001335,0.0,0.0
View9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001073,0.0
View10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002473
