PERMNO,date,TICKER,PRC,VOL,RET,sprtrn
10104,2019-01-31,ORCL,50.23,3248083.0,0.116722,0.078684
10104,2019-02-28,ORCL,52.13,2578429.0,0.037826,0.029729
10104,2019-03-29,ORCL,53.71,3706972.0,0.030309,0.017924
10104,2019-04-30,ORCL,55.33,1935070.0,0.03463,0.039313
10104,2019-05-31,ORCL,50.6,2400930.0,-0.085487,-0.065778
10104,2019-06-28,ORCL,56.97,4172203.0,0.125889,0.06893
10104,2019-07-31,ORCL,56.3,2514810.0,-0.007548,0.013128
10104,2019-08-30,ORCL,52.06,2259730.0,-0.075311,-0.018092
10104,2019-09-30,ORCL,55.03,3367994.0,0.05705,0.017181
10104,2019-10-31,ORCL,54.49,2528444.0,-0.005452,0.020432
10104,2019-11-29,ORCL,56.14,1572243.0,0.030281,0.034047
10104,2019-12-31,ORCL,52.98,2657013.0,-0.056288,0.02859
10104,2020-01-31,ORCL,52.45,2005627.0,-0.005474,-0.001628
10104,2020-02-28,ORCL,49.46,1935500.0,-0.057007,-0.08411
10104,2020-03-31,ORCL,48.33,5000331.0,-0.022847,-0.125119
10104,2020-04-30,ORCL,52.97,2615529.0,0.100972,0.126844
10104,2020-05-29,ORCL,53.77,2138695.0,0.015103,0.045282
10104,2020-06-30,ORCL,55.27,3366788.0,0.027897,0.018388
10104,2020-07-31,ORCL,55.45,2742218.0,0.007599,0.055101
10104,2020-08-31,ORCL,57.22,2179598.0,0.031921,0.070065
10104,2020-09-30,ORCL,59.7,4267449.0,0.043341,-0.039228
10104,2020-10-30,ORCL,56.11,2098049.0,-0.056114,-0.027666
10104,2020-11-30,ORCL,57.72,1870671.0,0.028694,0.107546
10104,2020-12-31,ORCL,64.69,2910949.0,0.120755,0.037121
10104,2021-01-29,ORCL,60.43,1731055.0,-0.062143,-0.011137
10104,2021-02-26,ORCL,64.51,2030198.0,0.067516,0.026091
10104,2021-03-31,ORCL,70.17,3854119.0,0.087738,0.042439
10104,2021-04-30,ORCL,75.79,2747488.0,0.084652,0.052425
10104,2021-05-28,ORCL,78.74,2198755.0,0.038923,0.005487
10104,2021-06-30,ORCL,77.84,2767391.0,-0.01143,0.022214
10104,2021-07-30,ORCL,87.14,2780749.0,0.123587,0.022748
10104,2021-08-31,ORCL,89.13,1548850.0,0.022837,0.02899
10104,2021-09-30,ORCL,87.13,2993188.0,-0.022439,-0.047569
10104,2021-10-29,ORCL,95.94,1777275.0,0.104786,0.069144
10104,2021-11-30,ORCL,90.74,1560291.0,-0.054201,-0.008334
10104,2021-12-31,ORCL,87.21,2710437.0,-0.038902,0.043613
10104,2022-01-31,ORCL,81.16,2005905.0,-0.065703,-0.052585
10104,2022-02-28,ORCL,75.97,1447025.0,-0.063948,-0.031361
10104,2022-03-31,ORCL,82.73,2439407.0,0.088983,0.035773
10104,2022-04-29,ORCL,73.4,1312745.0,-0.108909,-0.087957
10104,2022-05-31,ORCL,71.92,1624399.0,-0.020164,5.3e-05
10104,2022-06-30,ORCL,69.87,2198139.0,-0.028504,-0.08392
10104,2022-07-29,ORCL,77.84,1262558.0,0.118649,0.091116
10104,2022-08-31,ORCL,74.15,1171619.0,-0.047405,-0.04244
10104,2022-09-30,ORCL,61.07,2329482.0,-0.176399,-0.093396
10104,2022-10-31,ORCL,78.07,2001682.0,0.283609,0.079863
10104,2022-11-30,ORCL,83.03,1433141.0,0.063533,0.053753
10104,2022-12-30,ORCL,81.74,1724644.0,-0.015537,-0.058971
10104,2023-01-31,ORCL,88.46,1357037.0,0.086127,0.061753
10104,2023-02-28,ORCL,87.4,1226399.0,-0.011983,-0.026112
10104,2023-03-31,ORCL,92.92,1897840.0,0.063158,0.035052
10104,2023-04-28,ORCL,94.72,1304209.0,0.023676,0.014642
10104,2023-05-31,ORCL,105.94,1758608.0,0.118454,0.002482
10104,2023-06-30,ORCL,119.09,3293938.0,0.124127,0.064728
10104,2023-07-31,ORCL,117.23,1563054.0,-0.01226,0.031139
10104,2023-08-31,ORCL,120.39,1697263.0,0.026956,-0.017716
10104,2023-09-29,ORCL,105.92,3085564.0,-0.120193,-0.048719
10104,2023-10-31,ORCL,103.4,1646712.0,-0.020015,-0.02198
10104,2023-11-30,ORCL,116.21,1359967.0,0.123888,0.089179
10104,2023-12-29,ORCL,105.43,2699311.0,-0.092763,0.044229
10104,2024-01-31,ORCL,111.7,1711372.0,0.063265,0.015896
10104,2024-02-29,ORCL,111.68,1477011.0,-0.000179,0.051721
10104,2024-03-28,ORCL,125.61,2433215.0,0.124731,0.031019
10104,2024-04-30,ORCL,113.75,1359909.0,-0.091235,-0.041615
10104,2024-05-31,ORCL,117.19,1452283.0,0.030242,0.048021
10104,2024-06-28,ORCL,141.2,2383552.0,0.204881,0.03467
10104,2024-07-31,ORCL,139.45,1511031.0,-0.009561,0.011321
10104,2024-08-30,ORCL,141.28999,1199638.0,0.013195,0.022835
10104,2024-09-30,ORCL,170.39999,2672865.0,0.20603,0.020197
10104,2024-10-31,ORCL,167.84,1343858.0,-0.012676,-0.009897
10104,2024-11-29,ORCL,184.84,1505009.0,0.101287,0.057301
10104,2024-12-31,ORCL,166.64,1964458.0,-0.098464,-0.02499
10107,2019-01-31,MSFT,104.43,7140356.0,0.028158,0.078684
10107,2019-02-28,MSFT,112.03,4688757.0,0.077181,0.029729
10107,2019-03-29,MSFT,117.94,5893465.0,0.052754,0.017924
10107,2019-04-30,MSFT,130.60001,4330694.0,0.107343,0.039313
10107,2019-05-31,MSFT,123.68,5472320.0,-0.049464,-0.065778
10107,2019-06-28,MSFT,133.96001,5077693.0,0.083118,0.06893
10107,2019-07-31,MSFT,136.27,4835534.0,0.017244,0.013128
10107,2019-08-30,MSFT,137.86,5853810.0,0.015044,-0.018092
10107,2019-09-30,MSFT,139.03,4777427.0,0.008487,0.017181
10107,2019-10-31,MSFT,143.37,5627182.0,0.031216,0.020432
10107,2019-11-29,MSFT,151.38,3930340.0,0.059427,0.034047
10107,2019-12-31,MSFT,157.7,4520222.0,0.041749,0.02859
10107,2020-01-31,MSFT,170.23,5588346.0,0.079455,-0.001628
10107,2020-02-28,MSFT,162.00999,8865959.0,-0.045292,-0.08411
10107,2020-03-31,MSFT,157.71001,16102468.0,-0.026541,-0.125119
10107,2020-04-30,MSFT,179.21001,9846428.0,0.136326,0.126844
10107,2020-05-29,MSFT,183.25,6880424.0,0.025389,0.045282
10107,2020-06-30,MSFT,203.50999,7637969.0,0.110559,0.018388
10107,2020-07-31,MSFT,205.00999,7691053.0,0.007371,0.055101
10107,2020-08-31,MSFT,225.53,6911585.0,0.10258,0.070065
10107,2020-09-30,MSFT,210.33,7676076.0,-0.067397,-0.039228
10107,2020-10-30,MSFT,202.47,6307778.0,-0.03737,-0.027666
10107,2020-11-30,MSFT,214.07001,5731253.0,0.060058,0.107546
10107,2020-12-31,MSFT,222.42,5953829.0,0.039006,0.037121
10107,2021-01-29,MSFT,231.96001,6485677.0,0.042892,-0.011137
10107,2021-02-26,MSFT,232.38,4900140.0,0.004225,0.026091
10107,2021-03-31,MSFT,235.77,7249215.0,0.014588,0.042439
10107,2021-04-30,MSFT,252.17999,5681359.0,0.069602,0.052425
10107,2021-05-28,MSFT,249.67999,4947689.0,-0.007693,0.005487
10107,2021-06-30,MSFT,270.89999,5080224.0,0.084989,0.022214
10107,2021-07-30,MSFT,284.91,5220794.0,0.051717,0.022748
10107,2021-08-31,MSFT,301.88,4415471.0,0.061528,0.02899
10107,2021-09-30,MSFT,281.92001,5023354.0,-0.066119,-0.047569
10107,2021-10-29,MSFT,331.62,5157513.0,0.176291,0.069144
10107,2021-11-30,MSFT,330.59,5091543.0,-0.001236,-0.008334
10107,2021-12-31,MSFT,336.32001,6250773.0,0.017333,0.043613
10107,2022-01-31,MSFT,310.98001,9460285.0,-0.075345,-0.052585
10107,2022-02-28,MSFT,298.79001,6905975.0,-0.037205,-0.031361
10107,2022-03-31,MSFT,308.31,7351466.0,0.031862,0.035773
10107,2022-04-29,MSFT,277.51999,6263718.0,-0.099867,-0.087957
10107,2022-05-31,MSFT,271.87,7420645.0,-0.018125,5.3e-05
10107,2022-06-30,MSFT,256.82999,6210638.0,-0.055321,-0.08392
10107,2022-07-29,MSFT,280.73999,5341745.0,0.093097,0.091116
10107,2022-08-31,MSFT,261.47,4766826.0,-0.066432,-0.04244
10107,2022-09-30,MSFT,232.89999,5746488.0,-0.109267,-0.093396
10107,2022-10-31,MSFT,232.13,6703940.0,-0.003306,0.079863
10107,2022-11-30,MSFT,255.14,6145296.0,0.102055,0.053753
10107,2022-12-30,MSFT,239.82001,5991818.0,-0.060045,-0.058971
10107,2023-01-31,MSFT,247.81,6653042.0,0.033317,0.061753
10107,2023-02-28,MSFT,249.42,6148469.0,0.009241,-0.026112
10107,2023-03-31,MSFT,288.29999,7469274.0,0.155882,0.035052
10107,2023-04-28,MSFT,307.26001,5506599.0,0.065765,0.014642
10107,2023-05-31,MSFT,328.39001,5992060.0,0.070982,0.002482
10107,2023-06-30,MSFT,340.54001,5470225.0,0.036999,0.064728
10107,2023-07-31,MSFT,335.92001,6658592.0,-0.013567,0.031139
10107,2023-08-31,MSFT,327.76001,4792283.0,-0.022267,-0.017716
10107,2023-09-29,MSFT,315.75,4163480.0,-0.036643,-0.048719
10107,2023-10-31,MSFT,338.10999,5399432.0,0.070815,-0.02198
10107,2023-11-30,MSFT,378.91,5602438.0,0.122889,0.089179
10107,2023-12-29,MSFT,376.04001,5185553.0,-0.007574,0.044229
10107,2024-01-31,MSFT,397.57999,5256086.0,0.057281,0.015896
10107,2024-02-29,MSFT,413.64001,4421269.0,0.042281,0.051721
10107,2024-03-28,MSFT,420.72,4236784.0,0.017116,0.031019
10107,2024-04-30,MSFT,389.32999,4360892.0,-0.07461,-0.041615
10107,2024-05-31,MSFT,415.13,4095924.0,0.068194,0.048021
10107,2024-06-28,MSFT,446.95001,3398071.0,0.076651,0.03467
10107,2024-07-31,MSFT,418.35001,4361683.0,-0.063989,0.011321
10107,2024-08-30,MSFT,417.14001,4489646.0,-0.0011,0.022835
10107,2024-09-30,MSFT,430.29999,3750494.0,0.031548,0.020197
10107,2024-10-31,MSFT,406.35001,4371028.0,-0.055659,-0.009897
10107,2024-11-29,MSFT,423.45999,4403598.0,0.044149,0.057301
10107,2024-12-31,MSFT,421.5,4365487.0,-0.004629,-0.02499
10138,2019-01-31,TROW,93.46,375153.0,0.012348,0.078684
10138,2019-02-28,TROW,100.43,265434.0,0.074577,0.029729
10138,2019-03-29,TROW,100.12,269735.0,0.004481,0.017924
10138,2019-04-30,TROW,107.5,210889.0,0.073712,0.039313
10138,2019-05-31,TROW,101.14,222465.0,-0.059163,-0.065778
10138,2019-06-28,TROW,109.71,231028.0,0.092248,0.06893
