PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL,RET,SHROUT,vwretd
10104,2015-01-30,ORCL,ORACLE CORP,68389X10,41.89,3143875.0,-0.065822,4391367.0,-0.027163
10104,2015-02-27,ORCL,ORACLE CORP,68389X10,43.82,2158934.0,0.046073,4391367.0,0.055915
10104,2015-03-31,ORCL,ORACLE CORP,68389X10,43.15,3451147.0,-0.01529,4367070.0,-0.010397
10104,2015-04-30,ORCL,ORACLE CORP,68389X10,43.62,2782134.0,0.014368,4698310.0,0.008766
10104,2015-05-29,ORCL,ORACLE CORP,68389X10,43.49,1821383.0,-0.00298,4367070.0,0.010277
10104,2015-06-30,ORCL,ORACLE CORP,68389X10,40.3,4347625.0,-0.07335,4336077.0,-0.019231
10104,2015-07-31,ORCL,ORACLE CORP,68389X10,39.94,3011408.0,-0.005211,4336077.0,0.012108
10104,2015-08-31,ORCL,ORACLE CORP,68389X10,37.09,3024171.0,-0.071357,4336077.0,-0.059926
10104,2015-09-30,ORCL,ORACLE CORP,68389X10,36.12,3922905.0,-0.026153,4264628.0,-0.033756
10104,2015-10-30,ORCL,ORACLE CORP,68389X10,38.84,3175015.0,0.079457,4264628.0,0.073937
10104,2015-11-30,ORCL,ORACLE CORP,68389X10,38.97,2945684.0,0.003347,4264628.0,0.002404
10104,2015-12-31,ORCL,ORACLE CORP,68389X10,36.53,3729737.0,-0.062612,4201220.0,-0.022209
10104,2016-01-29,ORCL,ORACLE CORP,68389X10,36.31,3918973.0,-0.001916,4201220.0,-0.057085
10104,2016-02-29,ORCL,ORACLE CORP,68389X10,36.78,3055299.0,0.012944,4201220.0,0.00062
10104,2016-03-31,ORCL,ORACLE CORP,68389X10,40.91,3607210.0,0.112289,4149865.0,0.070491
10104,2016-04-29,ORCL,ORACLE CORP,68389X10,39.86,2184567.0,-0.021999,4149865.0,0.011718
10104,2016-05-31,ORCL,ORACLE CORP,68389X10,40.2,2068359.0,0.00853,4149865.0,0.01434
10104,2016-06-30,ORCL,ORACLE CORP,68389X10,40.93,4335936.0,0.018159,4122730.0,0.002947
10104,2016-07-29,ORCL,ORACLE CORP,68389X10,41.04,2333885.0,0.006352,4122730.0,0.038815
10104,2016-08-31,ORCL,ORACLE CORP,68389X10,41.22,2228371.0,0.004386,4122730.0,0.0028
10104,2016-09-30,ORCL,ORACLE CORP,68389X10,39.28,2962111.0,-0.047065,4105645.0,0.003013
10104,2016-10-31,ORCL,ORACLE CORP,68389X10,38.42,2184478.0,-0.018075,4105645.0,-0.021544
10104,2016-11-30,ORCL,ORACLE CORP,68389X10,40.19,2623394.0,0.04607,4105645.0,0.040488
10104,2016-12-30,ORCL,ORACLE CORP,68389X10,38.45,3084088.0,-0.043294,4102353.0,0.018763
10104,2017-01-31,ORCL,ORACLE CORP,68389X10,40.11,2447063.0,0.047074,4102353.0,0.022153
10104,2017-02-28,ORCL,ORACLE CORP,68389X10,42.59,2242070.0,0.06183,4102353.0,0.032598
10104,2017-03-31,ORCL,ORACLE CORP,68389X10,44.61,3596615.0,0.047429,4114684.0,0.002062
10104,2017-04-28,ORCL,ORACLE CORP,68389X10,44.96,2162291.0,0.012105,4114684.0,0.009655
10104,2017-05-31,ORCL,ORACLE CORP,68389X10,45.39,2182114.0,0.009564,4114684.0,0.009335
10104,2017-06-30,ORCL,ORACLE CORP,68389X10,50.14,3892504.0,0.104649,4136682.0,0.009571
10104,2017-07-31,ORCL,ORACLE CORP,68389X10,49.93,2206554.0,-0.000399,4136682.0,0.020277
10104,2017-08-31,ORCL,ORACLE CORP,68389X10,50.33,2169325.0,0.008011,4136682.0,0.0016
