ticker,end_date
A,
AABA,2017-06-19
AAL,1997-01-15
AAL,2024-09-23
AAMRQ,2003-03-14
AAP,2023-08-25
AAPL,
ABBV,
ABC,2023-08-30
ABI,2008-11-24
ABKFQ,2008-06-11
ABMD,2022-12-22
ABNB,
ABS,2006-06-02
ABT,
ABX,2002-07-22
ACAS,2009-03-04
ACGL,
ACKH,2000-11-17
ACN,
ACS,2010-02-08
ACV,2006-11-17
ADBE,
ADCT,2007-07-02
ADI,
ADM,
ADP,
ADS,2020-06-22
ADSK,
ADT,2016-05-02
AEE,
AEP,
AES,
AET,2018-11-29
AFL,
AFS.A,2000-12-01
AGC,2001-08-29
AGN,2020-05-12
AHM,1998-10-01
AIG,
AIT,1999-10-11
AIV,2020-12-21
AIZ,
AJG,
AKAM,
AKS,2011-12-19
AL,2002-07-22
ALB,
ALGN,
ALK,2023-10-18
ALL,
ALLE,
ALTR,2015-12-28
ALXN,2021-07-21
AM,2004-05-03
AMAT,
AMCC,2006-05-18
AMCR,
AMD,2013-09-23
AMD,
AME,
AMG,2019-12-23
AMGN,
AMH,1997-09-15
AMP,1999-04-05
AMP,
AMT,
AMTM,2024-12-23
AMZN,
AN,1999-01-04
AN,2017-08-08
ANDV,2018-10-01
ANDW,2006-10-02
ANET,
ANF,2013-12-23
ANRZQ,2012-10-02
ANSS,
ANTM,2022-06-28
ANV,1999-04-12
AON,
AOS,
APA,
APC,2019-08-09
APCC,2007-02-15
APD,
APH,
APO,
APOL,2013-07-01
APTV,
AR,1999-10-27
ARC,2000-04-18
ARE,
ARG,2016-05-23
ARNC,2020-04-06
AS,1998-11-24
ASC,1999-06-24
ASH,2008-11-14
ASN,2007-10-08
ASND,1999-06-25
ASO,2006-11-06
AT,2007-11-19
ATGE,2012-10-01
ATI,2015-07-02
ATO,
ATVI,2023-10-18
AV,2007-10-26
AVB,
AVGO,
AVP,2015-03-23
AVY,
AW,2008-12-05
AWE,2004-10-27
AWK,
AXON,
AXP,
AYE,2011-02-28
AYI,2018-06-18
AZA.A,2001-06-25
AZO,
BA,
BAC,
BALL,
BAX,
BAY,1998-08-31
BBBY,2017-07-26
BBI,1998-01-12
BBT,2019-12-09
BBWI,2024-10-01
BBY,
BC,2008-06-23
BCO,1996-01-22
BCR,2017-12-29
BDK,2010-03-15
BDX,
BEAM,2014-05-01
BEN,
BEV,1997-12-04
BF.B,
BFI,1999-08-02
BFO,2000-10-03
BG,
BGEN,2003-11-13
BGG,2001-04-03
BHF,2019-04-02
BHGE,2019-10-18
BHMSQ,2000-12-11
BIG,2013-02-14
BIIB,
BIO,2024-09-23
BJS,2010-04-29
BK,
BKB,1999-10-01
BKNG,
BKR,
BLDR,
BLK,
BLL,2022-05-10
BLS,2007-01-03
BLY,1996-12-19
BMC,2013-09-11
BMET,2007-07-12
BMGCA,1999-08-09
BMS,2014-12-05
BMY,
BNI,2010-02-16
BNL,1998-07-01
BOAT,1997-01-07
BOL,2007-10-29
BR,2006-04-03
BR,
BRCM,2016-02-01
BRK.B,
BRL,2008-12-23
BRO,
BSC,2008-06-02
BSX,
BT,1999-06-04
BTUUQ,2014-09-22
BUD,2008-11-18
BVSN,2001-09-04
BWA,2025-04-24
BX,
BXLT,2016-06-03
BXP,
C,
CA,2018-11-06
CAG,
CAH,
CAL,1996-07-22
CAM,2016-04-04
CAR,2006-08-01
CARR,
CAT,
CB,
CBB,1998-01-28
CBE,2009-09-09
CBE,2012-12-03
CBH,2008-03-31
CBOE,
CBRE,
CBS,2019-12-05
CBSS,2007-09-07
CCB,1996-02-12
CCE,2016-05-31
CCEP,2016-05-31
CCI,1998-10-08
CCI,
CCK,2000-12-11
CCL,
CCTYQ,2008-03-31
CCU,2008-07-31
CDAY,2024-02-01
CDNS,
CDW,
CE,2004-02-27
CE,2025-04-24
CEG,2012-03-13
CEG,
CELG,2019-11-21
CEN,2001-04-02
CEPH,2011-10-14
CERN,2022-06-08
CF,2004-09-01
CF,
CFC,2008-07-01
CFG,
CFL,1998-04-28
CFN,2015-03-17
